"Gene","Mean"
"1552482_PM_at",2.74017019394492
"1552484_PM_at",2.85407923473116
"1552485_PM_at",4.41933054636067
"1552486_PM_s_at",5.8332816329432
"1552487_PM_a_at",2.32166837894085
"1552489_PM_s_at",2.59611825011364
"1552490_PM_at",2.67997572479329
"1552491_PM_at",2.96700682543011
"1552493_PM_s_at",2.65728128337399
"1552494_PM_at",2.72400698305551
"1552496_PM_a_at",2.5407483310499
"1552497_PM_a_at",6.85724741327073
"1552498_PM_at",3.00517974863749
"1552499_PM_a_at",2.76600885206236
"1552501_PM_a_at",7.77053282900869
"1552502_PM_s_at",2.42798098241322
"1552503_PM_at",2.54497867757502
"1552504_PM_a_at",2.84133939193126
"1552506_PM_at",2.83481986190042
"1552507_PM_at",2.61340427376657
"1552508_PM_at",2.46142362131209
"1552509_PM_a_at",2.61882192100953
"1552510_PM_at",4.98833675729204
"1552511_PM_a_at",2.35140737480125
"1552514_PM_at",2.85280577953354
"1552515_PM_at",2.69242561726887
"1552516_PM_a_at",4.44098277851677
"1552518_PM_s_at",2.95459863873104
"1552519_PM_at",3.13921484898252
"1552520_PM_at",2.90247697096565
"1552521_PM_a_at",2.27474799669757
"1552522_PM_at",2.529135473884
"1552523_PM_a_at",2.73083714004985
"1552524_PM_at",2.73196338140462
"1552526_PM_at",2.66013030522658
"1552528_PM_at",3.55508876242402
"1552531_PM_a_at",2.49973594822509
"1552532_PM_a_at",2.48610664929643
"1552535_PM_at",2.85037077891153
"1552536_PM_at",4.86595908146794
"1552538_PM_a_at",2.63330675147616
"1552540_PM_s_at",2.61608546650536
"1552541_PM_at",6.04107777822361
"1552542_PM_s_at",7.09591437801528
"1552543_PM_a_at",2.8909866455704
"1552544_PM_at",2.73512263849894
"1552546_PM_a_at",3.91595598562905
"1552548_PM_at",2.71926182691354
"1552549_PM_a_at",2.8556595582284
"1552552_PM_s_at",3.79912811947068
"1552553_PM_a_at",6.18480375566901
"1552554_PM_a_at",2.8767640293414
"1552555_PM_at",3.43321391448163
"1552557_PM_a_at",2.42763896156662
"1552558_PM_a_at",3.35187779922964
"1552559_PM_a_at",2.85972649657887
"1552562_PM_at",3.02775751924854
"1552563_PM_a_at",3.08653270402984
"1552564_PM_at",2.92413973128313
"1552566_PM_at",2.51250862640786
"1552568_PM_at",2.79035232041727
"1552569_PM_a_at",2.71021512009541
"1552570_PM_at",2.69160500576434
"1552572_PM_a_at",2.28235599312931
"1552573_PM_s_at",2.48673396532861
"1552575_PM_a_at",2.61811338075261
"1552576_PM_at",3.20619556482364
"1552578_PM_a_at",2.54268223681982
"1552579_PM_a_at",2.78655740077423
"1552580_PM_at",2.49620926266896
"1552582_PM_at",3.09101649734253
"1552583_PM_s_at",7.02946648321756
